TIME,ROAD_CLASS,DISTRICT,LOCCOORD,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,INITDIR,MANOEUVER,DRIVACT,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,NEIGHBOURHOOD_158
852,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,unknown,,South,Turning Left,Failed to Yield Right of Way,,,,,,,Yes,,Yes,,,,,,Yes,,,High Park North
852,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,65 to 69,Fatal,North,,,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Unknown,,,,Yes,,Yes,,,,,,Yes,,,High Park North
915,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Turning Movement,Motorcycle Driver,45 to 49,Fatal,East,Turning Right,Disobeyed Traffic Control,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,Malvern East
236,Major Arterial,Toronto and East York,Intersection,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,50 to 54,Major,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,Yes,Woodbine-Lumsden
915,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Turning Movement,Driver,unknown,,South,Going Ahead,Driving Properly,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,Malvern East
240,Major Arterial,Scarborough,Mid-Block,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Driver,25 to 29,,West,Going Ahead,Other,,,,,,,Yes,,Yes,,,,,,,,Yes,Kennedy Park
236,Major Arterial,Toronto and East York,Intersection,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,15 to 19,Minor,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,Yes,Woodbine-Lumsden
236,Major Arterial,Toronto and East York,Intersection,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Driver,55 to 59,Minor,North,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,Yes,Yes,Yes,,Yes,Woodbine-Lumsden
240,Major Arterial,Scarborough,Mid-Block,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,30 to 34,Minor,South,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,,,,Yes,,Yes,,,,,,,,Yes,Kennedy Park
240,Major Arterial,Scarborough,Mid-Block,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,40 to 44,Fatal,South,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,,,,Yes,,Yes,,,,,,,,Yes,Kennedy Park
236,Major Arterial,Toronto and East York,Intersection,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,20 to 24,Minor,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,Yes,Woodbine-Lumsden
236,Major Arterial,Toronto and East York,Intersection,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,15 to 19,Minor,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,Yes,Woodbine-Lumsden
1903,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,,East,Turning Left,Failed to Yield Right of Way,,,,,,,Yes,,Yes,,,,,,Yes,,Yes,Trinity-Bellwoods
2040,Local,Etobicoke York,Mid-Block,No Control,Clear,Dusk,Dry,Non-Fatal Injury,Other,Passenger,15 to 19,Major,,,,,,,,,,,,Yes,,,,Yes,,,,,Princess-Rosethorn
236,Major Arterial,Toronto and East York,Intersection,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,20 to 24,Minor,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,Yes,Woodbine-Lumsden
1903,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Major,West,,,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,,,,Yes,,Yes,,,,,,Yes,,Yes,Trinity-Bellwoods
1000,Major Arterial,Scarborough,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown,,,,,,,,,,,,Yes,Yes,,,,,,,,,Wexford/Maryvale
236,Major Arterial,Toronto and East York,Intersection,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,Yes,Woodbine-Lumsden
1535,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,40 to 44,,East,Going Ahead,Driving Properly,,,,,,,Yes,,Yes,,,,,,,,,Kingsview Village-The Westway
